Project Name,Organization,Station Name,Station #,Station Status,Water Body Id,Water Code,River,Description,Station Type,Aquatic Model Index,RW Watershed,Quadi,Township,Range,Section,Quarter Section,Grid,StationQuad,Wqcc Watershed,HydroUnit,Eco Region,Elevation,Watershed Report,Longitude,Latitude,WS Report,WS Report Data,Utmx,Utmy,County,State,Near City,Region,USGS/DWR Gauge,Gauge Id,State Engineering,Comments
RiverWatch,Rocky Ford HS (163),Timpas 71,444,NonActive,COARLA04A,"TIMPAS CREEK - ARKANSAS R #2, W of Swink",Timpas Cr,,Sandy Substrate,AR0095,AK,Z-44,24S,57W,Timpas Cr,SESE,H6,Hawley,Lower Arkansas,11020005,SW Tablelands Grasslands,4178,Lower Arkansas Tribs,-103.7305,37.9539,,,611530,4201456,Otero,Colorado,Rocky Ford,13N,No,,No,Aq. Index > 200m
RiverWatch,CPW - WR (405),Blw Missouri Cr,445,NonActive,COLCWH03,"WHITE RIVER, N FK - WHITE R #2, at Buford",N Fk White,,Biological,,GR,,1N,89W,N Fk White,SESE,,Lost Park,White,14050005,Sedimentary Mid-Elevation Forests,7987,Yampa and White,-107.413761,40.063347,,,294142,4437580,Rio Blanco,Colorado,Meeker,13N,No,,No,
RiverWatch,Fowler Jr Sr HS (170),Hwy 167,446,NonActive,COARLA01B,ARKANSAS R #2A - John Martin Res. - Pueblo Co Ln,Arkansas,,Sandy Substrate,AR0486,AK,,22S,59W,Arkansas,NENE,B1,Fowler,Lower Arkansas,11020005,SW Tablelands Grasslands,4300,Middle Arkansas (Pueblo Res to Fowler),-104.0227,38.141,,,585642,4221908,Crowley,Colorado,Fowler,13N,No,,No,"AQ Index <400 Feet
new station for Fowler starting again.  6/13/16 - BS moved fr 585632/4221717 to put on water, and moved fr WBID COARLA04."
RiverWatch,Pueblo E HS (185),Fountain Cr at Mall,447,NonActive,COARFO02B,FOUNTAIN CREEK #2 - HWY 50 BRIDGE to FOUNTAIN,Fountain Cr,,Sandy Substrate,AR0715,AK,,,,Fountain Cr,,E5,Northeast Pueblo,Fountain Creek,11020003,SW Tablelands Grasslands,4662,Fountain Cr,-104.6037684,38.29777625,,,534647,4238929,Pueblo,Colorado,Pueblo,13N,No,,No,"dead sch, only 3 samples
Aq. Index > 200m"
RiverWatch,Pleasant View Middle School (356),Fountain Cr at Conf,448,NonActive,COARFO02B,FOUNTAIN CREEK #1 - ARKANSAS R #3 to HWY 50 BRIDGE,Fountain Cr,,Sandy Substrate,AR4551,AK,,21S,64W,Fountain Cr,NENE,C5,Northeast Pueblo,Fountain Creek,11020003,SW Tablelands Grasslands,4641,Fountain Cr,-104.5897,38.255,,,535896,4234183,Pueblo,Colorado,Pueblo,13N,No,,No,2010 revived.
RiverWatch,GOAL Academy (480),Nature Center,449,Active,COARMA02,ARKANSAS R #3B - I-25 to PUEBLO DAM,Arkansas,"From junction of US Hwy 50 & state hwy 45 near city of Pueblo, travel south on 45 to 11th St.  Turn right and continue 0.8 mi to Pueblo Nature Center on your left.  Station is at sand bar just west of Nature Center's fishing dock.",Chemical,AR0558,AK,W-36,20S,65W,Arkansas,NWNW,C6,Northwest Pueblo,Middle Arkansas,11020002,SW Tablelands Grasslands,4700,Middle Arkansas (Pueblo Res to Fowler),-104.676202,38.27022223,,,528324,4235847,Pueblo,Colorado,Pueblo,13N,No,,No,"same as 450, 474, 355.116,138,145,152,155,168 combined data.  6/15/16 - BS moved fr WBID COARMA03.
Aq. Index > 200m"
RiverWatch,Tom McCullough (288),Trujillo,450,Active,COSJSJ09A,SAN JUAN RIVER #1 - NAVAJO RES to PAGOSA SPRINGS,San Juan,"From US 160 in Pagosa Springs, turn south onto County Rd 500 (Trujillo Rd) at the downtown city market intersection. Take CR 500 approximately 14 miles south to where road crosses San Juan river. Sample upstream side of bridge.","Biological, Chemical, Physical",,SJ,,33N,2W,San Juan,SWNE,A1,Trujillo,San Juan,14080101,S Rockies Warm and Dry Forests of the Middle to Lo,6560,San Juan,-107.0466,37.1016,,,318134,4108108,Archuleta,Colorado,Pagosa Springs,13N,No,,No,"5/2/12 - Coord updt by BS.
Aq. Index NULL"
RiverWatch,Air Academy HS (156),N Gate of AFA,451,NonActive,COARFO06,MONUMENT CREEK #3 - SMITH CR to N MONUMENT CR,Monument Cr,"From junction of I-25 & US Hwy 85/87 (Nevada Ave) in the city of Colorado Spgs, travel north approx 8 mi on I-25 to North Gate Blvd.  Follow North Gate about 1/2 mi west to bridge over Monument Creek.",Chemical,AR0379,AK,Q-35,12S,67W,Monument Cr,,A7,Monument,Fountain Creek,11020003,S Rockies Warm and Dry Forests of the Middle to Lo,6590,Fountain Cr,-104.8435013,39.0235986,,,513547,4319407,El Paso,Colorado,Monument,13N,No,,No,
RiverWatch,Air Academy HS (156),Air Force Acad,452,Active,COARFO03A,"MONUMENT CREEK, WEST - MONUMENT CR, FOUNTAIN CR",W Monument C,"From junction of I-25 & US Hwy 85/87 (Nevada Ave) in the city of Colorado Spgs, travel north approx 2.5 mi on I-25 to South Gate Blvd.  Follow South Gate northwest another 2.5 mi to Stadium Dr and turn left.  After road curves to the right and becomes Pine Dr, take first left and proceed to Air Acad HS.  Walk south from HS to nature trail, follow this trail to stream.",Chemical,AR0549,AK,R-35,12S,67W,W Monument C,,H7,Pikeview,Fountain Creek,11020003,S Rockies Warm and Dry Forests of the Middle to Lo,6460,Fountain Cr,-104.8456295,38.96392821,,,513374,4312785,El Paso,Colorado,Monument,13N,Yes,,No,Aq. Index > 200m
RiverWatch,Colorado Spgs N MS (20),Uintah Br,453,NonActive,COARFO06,MONUMENT CREEK #1 - FOUNTAIN CR to COTTONWOOD CR,Monument Cr,"From intersection of I-25 & US Hwy 24 in the city Colorado Spgs, travel approx 1.6 mi north on I-25 to Uintah St.  Take Uintah about 1/10 mi east to bridge over Monument Cr.",Chemical,AR0389,AK,S-35,14S,66W,Monument Cr,,G7,Colorado Springs,Fountain Creek,11020003,SW Tablelands Grasslands,6020,Fountain Cr,-104.8286792,38.85118882,,,514866,4300277,El Paso,Colorado,Monument,13N,No,,No,
RiverWatch,Colorado Spgs N MS (20),Tejon Br,454,NonActive,COARFO02A,FOUNTAIN CREEK #3 - TWN OF FOUNTAIN to MONUMENT CR,Fountain Cr,"From intersection of I-25 & US Hwy 24 in the city Colorado Spgs, travel approx 0.6 mi east on 24 to Tejon St.  Turn right and continue about 3/4 mi to bridge over Fountain Cr.",Sandy Substrate,AR0550,AK,S-35,14S,66W,Fountain Cr,,G7,Colorado Springs,Fountain Creek,11020003,SW Tablelands Grasslands,5900,Fountain Cr,-104.8245014,38.81610044,,,515236,4296384,El Paso,Colorado,Colorado Spgs,13N,No,,No,Aq. Index > 200m
RiverWatch,Kim Jr Sr HS (175),Higbee Br,455,NonActive,COARLA07,PURGATOIRE R #1 - ARKANSAS R #2 to TRINIDAD LK,Purgatoire,"From town of La Junta, travel approx 17 mi south on state hwy 109.  After crossing Purgatoire River, enter the first locked gate on the right.  Follow pasture road about 1/3 mi to salt cedars at riverbank.  ***Key to gate is in school's kit***",Sandy Substrate,AR2941,AK,AA-46,26S,54W,Purgatoire,NWNW,G4,Higbee,Lower Arkansas,11020010,SW Tablelands Grasslands,4170,Lower Arkansas Tribs,-103.435899,37.75974961,,,637775,4180311,Otero,Colorado,Kim,13N,No,,No,
RiverWatch,Kim Jr Sr HS (175),Nine Mile Dam,456,NonActive,COARLA07,PURGATOIRE R #1 - ARKANSAS R #2 to TRINIDAD LK,Purgatoire,"From town of La Junta, travel approx 14.75 mi south on state hwy 109 to Ninemile Rd.  Turn right and continue about 6 mi to a pasture gate on the left.  Proceed through gate, over Ninemile Canal, and down to Purgatoire River.",Sandy Substrate,AR0551,AK,BB-45,27S,54W,Purgatoire,NWNW,F5,Riley Canyon,Lower Arkansas,11020010,SW Tablelands Grasslands,4240,Lower Arkansas Tribs,-103.5097243,37.71371515,,,631353,4175097,Otero,Colorado,Kim,13N,No,,No,
RiverWatch,Fowler Jr Sr HS (170),Hwy 50,457,NonActive,COARLA04A,"APISHAPA RIVER - ARKANSAS R #2, SE of Fowler",Apishapa,"From town of Fowler, travel approx 4 mi east on US Hwy 50 to bridge over Apishapa River.",Sandy Substrate,AR0298,AK,Y-42,22S,58W,Apishapa,NWSW,A8,Elder,Lower Arkansas,11020007,SW Tablelands Grasslands,4295,Lower Arkansas Tribs,-103.9474767,38.12095037,,,592258,4219758,Otero,Colorado,Fowler,13N,No,,No,6/13/16 - BS moved fr obsolete WBID COARLA04.
RiverWatch,La Veta School (176),La Veta Pk,458,NonActive,COARMA13A,CUCHARAS RIVER #2 - MIDDLE CR @ LA VETA to HDWTRS,Cucharas,"From state hwy 12 (formerly 111) in the town La Veta, turn west onto Ryus Ave and proceed just over one block to Cucharas River.  Station is on north side of Ryus Ave.",Chemical,,AK,CC-33,29S,68W,Cucharas,,E1,La Veta,Middle Arkansas,11020006,S Rockies Warm and Dry Forests of the Middle to Lo,7000,Middle Arkansas (Pueblo Res to Fowler),-105.0120277,37.50938854,,,498937,4151383,Huerfano,Colorado,La Veta,13N,No,,No,"6/20/16 - BS moved fr obsolete WBID COARMA13.
Aq. Index NULL"
DOW - Logan,CPW Bakich (455),Upper Abrams Cr,459,NonActive,COUCEA10B,"ABRAMS CREEK - BRUSH CR, EAGLE R, S of Eagle",Abrams Cr,"From I-70 take Gypsum exit into the town of Gypsum.  Right on Valley Rd, Left on Cooley Mesa Rd, Right on Spring Creek Rd follow it until changes to BLM Rd 8383, continue on to 8383C and go left, then right on Rd 8380 to the intersection with Abrams Cr.  From there, the sample site is approx 540 yds upstream above the diversion.",Biological,CR1902,CO,,5S,84W,Abrams Cr,SWNW,E7,The Seven Hermits,Eagle,14010003,S Rockies Warm and Dry Forests of the Middle to Lo,8072,Eagle,-106.8606,39.5865,,,340222,4383514,Eagle,Colorado,Eagle,13N,No,,No,2/1/16 - Completed metadata per location info from Kendall Bakich.
RiverWatch,CPW (0),Gagliardi,460,NonActive,COARLA07,PURGATOIRE R #1 - ARKANSAS R #2 to TRINIDAD LK,Purgatoire,"From the town Trinidad, travel 8.9 mi northeast on US Hwy 350 to county Rd 36.  Turn left and continue approx 1.5 mi to bridge over Purgatoire River.",Sandy Substrate,AR0554,AK,FF-38,32S,63W,Purgatoire,,B4,Trinidad East,Lower Arkansas,11020010,SW Tablelands Grasslands,5758,Lower Arkansas Tribs,-104.4054025,37.24783765,,,552733,4122532,Las Animas,Colorado,Hoehne,13N,Yes,,No,
RiverWatch,Animas HS (410),At HS,461,Active,COSJAF14B,LIGHTNER CREEK #1 - ANIMAS R to END of RD 207,Lightner Cr,"Fr Hwy 160 at Hwy 550 in DGO, travel W on 160 approx 1.7 miles, turn rt in Twin Buttes dev.  Take 1st left into Animas HS complex and park.  Walk W to far side of westmost bldg along river trl.  At approx 150' the trail begins up the hill to the rt, but continue along cr for approx 50' until metal fence line of left ends.","Biological, Chemical, Physical",,SJ,,35N,10W,Lightner Cr,NWNW,C8,Durango West,"Animas, Florida",14080104,NM AZ Shrublands,6649,Animas,-107.9167,37.2682,,,241369,4128618,La Plata,Colorado,Durango,13N,No,,No,"1/24/14 - BS mods.
Aq. Index NULL"
RiverWatch,Hoehne HS (173),Mincic,462,NonActive,COARLA07,PURGATOIRE R #1 - ARKANSAS R #2 to TRINIDAD LK,Purgatoire,"From the town Trinidad, travel approx 9 mi northeast on US Hwy 350 to county Rd 85.  Turn left and continue 1.1 mi to bridge over Purgatoire River.",Sandy Substrate,AR0555,AK,EE-39,32S,62W,Purgatoire,,C3,Earl,Lower Arkansas,11020010,SW Tablelands Grasslands,5680,Lower Arkansas Tribs,-104.3744891,37.2691675,,,555459,4124916,Las Animas,Colorado,Hoehne,13N,No,,No,"was named ""miller"""
RiverWatch,La Veta School (176),Hwy 12 Br,463,NonActive,COARMA13A,CUCHARAS RIVER #2 - MIDDLE CR @ LA VETA to HDWTRS,Cucharas,Take highway 12 to LaVeta. Go west on Grand Street. Go south on Oak Street. Oak turns into Hwy 12. Sample on right side of bridge.,"Biological, Chemical, Physical",,AK,,29S,68W,Cucharas,NENE,E1,La Veta,Middle Arkansas,11020006,S Rockies Warm and Dry Forests of the Middle to Lo,7013,Middle Arkansas (Pueblo Res to Fowler),-105.0162574,37.49940991,,,498563,4150276,Huerfano,Colorado,LaVeta,13N,No,,No,
RiverWatch,Rangely HS (188),E Pump Sta,464,NonActive,COLCWH12,WHITE RIVER #1A - UT St. line - Rio Blanco Lk Dam,White,"From town of Rangely, travel 3.9 mi east on state hwy 64 to dirt road on left.  Follow this road to its end, then walk east to pumping station.",Chemical,WR0019,GR,I-4,2N,101W,White,,A6,Gillam Draw,White,14050007,CO Plateaus Saltdeserts,5260,Yampa and White,-108.7290535,40.1018579,,,182124,4445731,Rio Blanco,Colorado,Rangely,12N,No,,No,E on Hwy 64 off dirt road by pumping station
RiverWatch,Rangely HS (188),Cox,465,NonActive,COLCWH12,WHITE RIVER #1A - UT St. line - Rio Blanco Lk Dam,White,,Chemical,,GR,,2N,97W,White,SESE,A3,Barcus Creek SE,White,14050005,CO Plateaus Saltdeserts,5696,Yampa and White,-108.2587,40.0923,,,222191,4443094,Rio Blanco,Colorado,Rangely,12N,No,,No,Rio Blanca SWA where road crosses just before.  3/11/14 - BS moved fr WBID COLCWH21; also fr 4443077/222191 to put on water.
RiverWatch,Animas HS (410),Abv Coal G,466,NonActive,COSJAF14B,LIGHTNER CREEK #1 - ANIMAS R to END of RD 207,Lightner Cr,,"Biological, Chemical, Physical",,SJ,,35N,10W,Lightner Cr,NWSW,C8,Durango West,"Animas, Florida",14080104,NM AZ Shrublands,6818,Animas,-107.9354,37.2794,,,239745,4129904,La Plata,Colorado,Durango,13N,No,,No,"1/24/14 - BS rev.
Aq. Index NULL"
Animasbaseline,CPW (0),Howardsville,467,Active,COSJAF03A,ANIMAS RIVER #4 - MINERAL CR to ANIMAS FORKS,Animas,"Take Hwy 586 S from Howardsville and site is located just below the gauge which is below confluence of Cunningham Cr, and a little below the cabin built on the edge of the avalanch zone from Brendel","Biological, Chemical, Physical",SJ2762,SJ,,41N,7W,Animas,SESE,G5,Howardsville,"Animas, Florida",14080104,S Rockies Cool and Moist Forests of the Middle to,9626,Animas,-107.6002,37.8326,,,271174,4190426,San Juan,Colorado,Howardsville,13N,Yes,,No,1/16/14 - BS added metadata.
RiverWatch,CPW - WR (405),Stonewall,468,Active,COARLA05B,"PURGATOIRE R, MID FK - PURGATOIRE R #2, W of Vigil",M Fk Purgatoire,"From town of Weston, travel approx 10 mi west on state hwy 12 to county Rd 13.  Turn south onto 13 and proceed to first bridge.",Chemical,AR0556,AK,FF-33,33S,68W,M Fk Purgatoire,,B1,Stonewall,Lower Arkansas,11020010,S Rockies Warm and Dry Forests of the Middle to Lo,7720,Lower Arkansas Tribs,-105.0182658,37.15091291,,,498378,4111614,Las Animas,Colorado,Weston,13N,No,,No,
RiverWatch,Primero HS (178),Primero,469,Active,COARLA05B,PURGATOIRE R #2 - TRINIDAD LK to N FK CONFL,Purgatoire,"From town of Weston, travel approx 3.2 mi east on state hwy 12 to Primero HS.  Station is on Purgatoire River, behind school.",Sandy Substrate,AR0557,AK,FF-35,33S,66W,Purgatoire,SWNW,B7,Weston,Lower Arkansas,11020010,S Rockies Warm and Dry Forests of the Middle to Lo,6680,Lower Arkansas Tribs,-104.7929863,37.12533151,,,518389,4108796,Las Animas,Colorado,Weston,13N,No,,No,6/13/16 - BS moved fr WBID COARLA05A.
RiverWatch,Craig MS (149),Green River,470,NonActive,COLCLY19B,"GREEN RIVER - into Utah, Browns Park",Green,"Go on Hwy 40 west Craig. Continue onto Hwy 318 west of Maybell. Keep going west until mile marker 5.  Turn left on Swinging Bridge Rd.  Go 2.5 miles and turn right, go to boat dock.  Sample from there.",Sandy Substrate,GR0002,GR,,,,Green,,G1,The Nipple SE,Yampa,14040106,WY Basin Semiarid to Arid Shrublands,5515,Yampa and White,-109.0304467,40.82809454,,,160113,4527497,Moffat,Colorado,Craig,12N,No,,No,AQ Index <400 Feet
RiverWatch,Craig MS (149),Little Snake,471,NonActive,COLCLY16,LITTLE SNAKE R #1 - YAMPA R #1 to SLATER CR,Little Snake,Go west of Craig approx 30 miles to the bridge near Maybell. Take Colorado 318 to mile marker 48. Turn left on Cty Rd 21 south.  Go 7.5 miles to the bridge and then across the bridge.  The sample is taken on the north side of the bridge.,Sandy Substrate,YP0191,GR,,7N,98W,Little Snake,NENW,E4,Lone Mountain,Yampa,14050003,WY Basin Semiarid to Arid Shrublands,5750,Yampa and White,-108.4250823,40.54927818,,,209965,4494364,Moffat,Colorado,Craig,13N,No,,No,
RiverWatch,Pueblo W HS (230),Swallows,472,NonActive,COARUA04B,ARKANSAS R #4 - PUEBLO RES to TEMPLE CANYON,Arkansas,,Chemical,AR3638,AK,,20S,67W,Arkansas,NWNE,C7,Swallows,Middle Arkansas,11020002,SW Tablelands Grasslands,4700,Middle Arkansas (Pueblo Res to Fowler),-104.8608512,38.29976881,,,512167,4239085,Pueblo,Colorado,Pueblo,13N,No,,No,"Changed name from Above Pueblo Res.  6/15/16 - BS moved fr WBID COARMA03.
Aq. Index > 200m"
,Connect Sch (166),At  Runyan Lk,473,NonActive,COARMA03,ARKANSAS R #3A - HUERFANO R to I-25 in Pueblo,Arkansas,"In Pueblo, fr intersection of Santa Fe Dr and Moffat St, go to N end of Moffat St and sample here.","Biological, Chemical, Physical",,AK,,21S,64W,Arkansas,NWSW,C5,Northeast Pueblo,Middle Arkansas,11020002,SW Tablelands Grasslands,4642,Middle Arkansas (Pueblo Res to Fowler),-104.6051,38.2538,,,534552,4234051,Pueblo,Colorado,Pueblo,13N,No,,No,3/25/14 - BS added new station.6/26/15 - BS chg'd HUC from 11020005 per mapping file from CDSN.
RiverWatch,La Veta School (176),County Rd Br,474,NonActive,COARMA13B,"MIDDLE CREEK - CUCHARAS R #2, NW of La Veta",Middle Cr,Take highway 12 to LaVeta. Turn west on Ryus Ave (by Town Park). Ryus turns into CR 450. Go past RR tracks 0.2 mile. Sample on right side of bridge.,"Biological, Chemical, Physical",AR0340,AK,,29S,68W,Middle Cr,NENE,E1,La Veta,Middle Arkansas,11020006,S Rockies Warm and Dry Forests of the Middle to Lo,7013,Middle Arkansas (Pueblo Res to Fowler),-105.0148575,37.51450797,,,498687,4151951,Huerfano,Colorado,LaVeta,13N,No,,No,6/20/16 - BS moved fr WBID COARMA14.
RiverWatch,Liberty Point International MS (461),@ Gauge,475,NonActive,COARMA02,ARKANSAS R #3B - I-25 to PUEBLO DAM,Arkansas,,Chemical,AR2289,AK,,20S,65W,Arkansas,NWSW,C6,Northwest Pueblo,Middle Arkansas,11020002,SW Tablelands Grasslands,4662,Middle Arkansas (Pueblo Res to Fowler),-104.6578,38.2678,,,529935,4235583,Pueblo,Colorado,Pueblo,13N,No,,No,Changed name from Snakeskin.  6/15/16 - BS moved fr WBID COARMA03.
RiverWatch,Fowler Jr Sr HS (170),Hwy 207,476,NonActive,COARLA01B,ARKANSAS R #2A - John Martin Res. - Pueblo Co Ln,Arkansas,"From town of Crowley, travel 4.5 mi south on state hwy 207 to bridge over Arkansas River.",Sandy Substrate,AR0487,AK,X-43,21S,58W,Arkansas,,B7,Ordway,Lower Arkansas,11020005,SW Tablelands Grasslands,4240,Middle Arkansas (Pueblo Res to Fowler),-103.8622169,38.12727523,,,599723,4220548,Crowley,Colorado,Fowler,13N,No,,No,AQ index <400 Feet
RiverWatch,Fowler Jr Sr HS (170),Hwy 50,477,NonActive,COARMA12,HUERFANO R #1 - ARKANSAS R #3 to FARASITA,Huerfano,"Station is located at junction of US Hwy 50 & state hwy 209 (south of the town Boone), under Hwy 50 bridge.",Sandy Substrate,AR0085,AK,X-39,21S,61W,Huerfano,,B3,Avondale,Middle Arkansas,11020006,SW Tablelands Grasslands,4467,Middle Arkansas (Pueblo Res to Fowler),-104.2615427,38.22546454,,,564636,4231089,Pueblo,Colorado,Fowler,13N,Yes,,No,
RiverWatch,Fowler Jr Sr HS (170),Nepesta,478,NonActive,COARLA01B,ARKANSAS R #2B - Pueblo Co. Line - Huerfano R,Arkansas,"From town of Fowler, travel approx 7.2 mi west on US Hwy 50 to county Rd 613.  Turn right and follow 613 about 1 mi to bridge over Arkansas River.",Sandy Substrate,AR0561,AK,X-40,21S,60W,Arkansas,,B2,Nepesta,Lower Arkansas,11020005,SW Tablelands Grasslands,4372,Middle Arkansas (Pueblo Res to Fowler),-104.1392076,38.17888446,,,575392,4226013,Pueblo,Colorado,Fowler,13N,Yes,,No,
RiverWatch,Crest Academy (334),Frisbee Footbridge,479,Active,COARUA12B,"PONCHA CREEK - S ARK R, S of Poncha Springs",S Arkansas,"From Poncha Springs, head S on Hwy 285 towards Poncha Pass.  After crossing bridge over S Fk Arkansas, go .60 miles to where CR 206 intersects on right side of hwy.  On left side, across from CR 206, is a pull off that leads down to a picnic area.  Park here and walk down to footbridge -- site is on upstream side.","Biological, Chemical, Physical",AR3653,AK,,49N,8E,S Arkansas,NESE,E1,Salida West,Upper Arkansas,11020001,S Rockies Low to Middle Elevation Semi-Desert Shru,7586,Upper Arkansas (Source to Pueblo Res),-106.0812,38.5023,,,405721,4262101,Chaffee,Colorado,Poncha Springs,13N,No,,No,"1/16/14 - BS completed metadata, per supplied google map. 1/27 - updt DESC per supplied.  6/22/16 - BS moved fr WBID COARUA13."
Littlefishes,CPW (0),Below La Junta WWTP,480,NonActive,COARLA01B,ARKANSAS R #2B - Pueblo Co. Line - Huerfano R,Arkansas,"From US Hwy 50 within the town La Junta, turn north on state hwy 109.  Proceed 1/4 mi to bridge over Arkansas River; sample at gaging station adjacent to bridge.",Sandy Substrate,AR0211,AK,Z-45,24S,55W,Arkansas,,H5,La Junta,Lower Arkansas,11020005,SW Tablelands Grasslands,4037,Middle Arkansas (Pueblo Res to Fowler),-103.5289,37.9893,,,629178,4205652,Otero,Colorado,La Junta,13N,No,,Yes,
RiverWatch,Wiley High School (473),Hwy 50 at Lamar,481,Active,COARLA01C,ARKANSAS R #1 - KS ST LINE to JOHN MARTIN DAM,Arkansas,"From junction of US Hwys 50 & 287 within town of Lamar, travel 1.2 mi north on 50/287 to bridge over Arkansas River.",Sandy Substrate,AR0004,AK,Y-53,22S,46W,Arkansas,,A5,Lamar East,Lower Arkansas,11020009,SW Tablelands Grasslands,3604,Lower Arkansas,-102.6183685,38.10565615,,,708815,4220217,Prowers,Colorado,Lamar,13N,Yes,,No,Combo with 3423 and 3399
RiverWatch,Crestone Charter School (280),S Crestone Cr,482,NonActive,CORGCB03,"CRESTONE CR, SOUTH - SAN LUIS CR, S of Crestone",S Crestone Cr,,Biological,,RG,,,,S Crestone Cr,,H6,Crestone,Rio Grande,13010003,S Rockies Cool and Moist Forests of the Middle to,7986,Rio Grande Tribs,-105.69202,37.98331,,,439228.36,4204189.1,Saguache,Colorado,Crestone,13N,No,,No,"37.98331, 105.69202
Sampled 1 time.  6/25/14 - BS added meta-data, but could not get T-R-S because CO Hunting Atlas was void.  8/18/16 - BS moved fr WBID CORGCB04."
RiverWatch,CPW (0),Golden Prop. BLW Airport Rd,484,NonActive,COSPSV13,ST VRAIN CR - SP to N & S ST VRAIN CRS,St Vrain,,Chemical,SP1423,SP,,,,St Vrain,,B1,Longmont,St Vrain Creek,10190005,W High Plains Flat to Rolling Cropland,4560,Boulder and Saint Vrain Tribs,-105.143309,40.1667865,,,487797,4446279,Boulder,Colorado,Longmont,13N,Yes,,No,
RiverWatch,CPW (0),Longmont,485,NonActive,COSPSV03,ST VRAIN CR - SP to N & S ST VRAIN CRS,St Vrain,,Chemical,SP1433,SP,,,,St Vrain,,B1,Longmont,St Vrain Creek,10190005,W High Plains Flat to Rolling Cropland,4560,Boulder and Saint Vrain Tribs,-105.1156107,40.15600601,,,490154,4445079,Boulder,Colorado,Longmont,13N,No,,Yes,
RiverWatch,Englewood HS (83),S Platte at Alameda,486,NonActive,COSPUS14,SOUTH PLATTE R # 8 - BEAR CR to HENDERSON,S Platte,,Chemical,,SP,,,,S Platte,NENW,F8,Englewood,Upper South Platte,10190002,W High Plains Flat to Rolling Cropland,5280,Upper Middle S Platte (Waterton Cyn thru Denver),-104.99965,39.70926,,,500029.41,4395489.29,Denver,Colorado,Denver,13N,No,,No,got from being in h20
CPW Bakich,CPW Bakich (455),Above Ruby Mine LC6,487,Active,COUCRF02,"LINCOLN CREEK - ROARING FK R #5, SE of Aspen",Lincoln Cr,"From Portal Campground (~0.45 miles from Grizzly Reservoir dam) continue up Lincoln Creek Rd (USFS Rd 102) for approximately 3.37 miles. You will come to a split in the road, stay left on Lincoln Creek Rd and continue to where the road terminates at a turn around, about 1.05 miles from the turn off to Anderson and Petroleum Lakes trailhead. You can park at the turn around and then head a couple hundred feet down to the stream.",Chemical,CR0089,CO,Q-21,12S,82W,Lincoln Cr,,A5,Independence Pass,Roaring Fork,14010004,S Rockies Cool and Moist Forests of the Middle to,11400,Roaring Fork,-106.6081822,39.01588851,,,360772,4319770,Pitkin,Colorado,Aspen,13N,No,,No,4/12/13 - BS moved WBID from COUCRF01.
CPW Bakich,Basalt HS (47),0.5 Miles Blw Ruby,488,NonActive,COUCRF02,"LINCOLN CREEK - ROARING FK R #5, SE of Aspen",Lincoln Cr,"From the town of Aspen, travel approx 10 mi southeast on state hwy 82 to FR 106.  Turn right and follow 106 about 10.3 mi.  Station is just to the west, on Lincoln Cr just downstream from an old mine.",Chemical,CR0090,CO,Q-21,12S,83W,Lincoln Cr,,A5,Independence Pass,Roaring Fork,14010004,S Rockies Cool and Moist Forests of the Middle to,11380,Roaring Fork,-106.6121126,39.02366445,,,360447,4320639,Pitkin,Colorado,Aspen,13N,No,,No,4/12/13 - BS moved WBID from COUCRF01.
CPW Bakich,Basalt HS (47),Campsite,489,NonActive,COUCRF02,"LINCOLN CREEK - ROARING FK R #5, SE of Aspen",Lincoln Cr,"From the town of Aspen, travel approx 9.7 mi southeast on state hwy 82 to Lincoln Gulch Campground.  Station is in campground, on Lincoln Cr.",Chemical,,CO,Q-20,,,Lincoln Cr,,A6,New York Peak,Roaring Fork,14010004,S Rockies Cool and Moist Forests of the Middle to,9600,Roaring Fork,-106.6972191,39.11760707,,,353274,4331199,Pitkin,Colorado,Aspen,13N,No,,No,"4/12/13 - BS moved WBID from COUCRF01.
Aq. Index NULL"
RiverWatch,Lyons Jr Sr HS (145),McConnel Br,490,Active,COSPSV02B,ST VRAIN CR - SP to N & S ST VRAIN CRS,St Vrain,"From US Hwy 36 and Hwy N Foothills intersection go west on 36 to McConnel, turn left and sample upstream of Br","Biological, Chemical, Physical",,SP,,3N,70W,St Vrain,NWNW,B3,Lyons,St Vrain Creek,10190005,W High Plains Flat to Rolling Cropland,5305,Boulder and Saint Vrain Tribs,-105.2603,40.218,,,477853,4451985,Boulder,Colorado,Lyons,12N,No,,No,Moved from station 107 due to flood. Stream is still stablizing and remains braided Fall 2014.  2/16/15 - BS completed metadata.
RiverWatch,Hulstrom K-8 (432),104th Ave Br,491,NonActive,COSPUS15,SOUTH PLATTE R # 8 - BEAR CR to HENDERSON,S Platte,"Site is at the intersection of 104th Ave and River, sample on upstream side of bridge and west side. Sample on west side of River.",Biological,SP1002,SP,,2S,67W,S Platte,NWNW,G8,Commerce City,Upper South Platte,10190003,W High Plains Flat to Rolling Cropland,5039,Upper S Platte (Source to Waterton Canyon),-104.9023318,39.88514172,,,508350,4415018,Denver,Colorado,Denver,13N,No,,No,"1/29/15 - BS completed metadata.  6/26/15 - BS chg'd HUC from 10190002, per file from CDSN."
